priority,target,type,relevance,submission_url,cost,account_or_gate,suggested_destination,status,next_action,verified_on
1,G2,Software marketplace,High,https://documentation.g2.com/help/docs/finding-or-listing-a-product-on-g2,Free basic listing,G2 account and product eligibility review; documented form currently returns HTTP 410 without an authenticated session,https://regrely.com/product/,Blocked - authenticated G2 flow required,Open Add Your Product from a logged-in G2 session then submit and claim,2026-07-28
1,Capterra and Gartner Digital Markets,Software marketplace,High,https://www.capterra.com/vendors/,Free basic listing,Vendor account and review,https://regrely.com/product/,Ready - account required,Create vendor listing in GDPR Compliance category,2026-07-28
1,SpotSaaS,Software marketplace,High,https://partners.spotsaas.com/register,Free basic listing,Full name job title phone work email and password required,https://regrely.com/solutions/gdpr-compliance-software-small-business/,Blocked - identity and inbox access required,Create vendor account with authorized representative then apply in GDPR Compliance Software,2026-07-28
1,Software Advice,Software marketplace,High,https://www.softwareadvice.com/risk-management/gdpr-comparison/,Via Gartner Digital Markets,Capterra vendor onboarding,https://regrely.com/product/,Pending parent listing,Ask vendor team to distribute approved profile,2026-07-28
1,Crunchbase,Company database,High,https://www.crunchbase.com/add-new,Free contribution,Registered socially authenticated user,https://regrely.com/,Ready - owner profile required,Search again then create company profile,2026-07-28
1,AlternativeTo,Software discovery,High,https://alternativeto.net/faq/,Free,Account must be at least one week old,https://regrely.com/product/,Ready - aged account required,Create account and submit as OneTrust or DataGrail alternative after waiting period,2026-07-28
2,SaaSHub,Software discovery,Medium-high,https://www.saashub.com/submit,Free,Account and product verification,https://regrely.com/product/,Ready - account required,Submit and verify product before adding relevant alternatives,2026-07-28
2,Product Hunt,Product launch,Medium-high,https://www.producthunt.com/launch,Free,Personal maker account and onboarding or one-week wait,https://regrely.com/,Ready - maker account required,Create draft and schedule only after launch assets and maker identity are confirmed,2026-07-28
2,SourceForge and Slashdot,Software marketplace,Medium-high,https://sourceforge.net/software/vendors/,Free basic listing available,Vendor contact form requires named contact phone and job title,https://regrely.com/product/,Ready - identity fields required,Request free business software listing,2026-07-28
2,SaaSTrac,Software marketplace,Medium,https://saastrac.com/add-your-product/,Free basic listing,Named contact phone headquarters square WebP logo and screenshots,https://regrely.com/product/,Ready - missing owner data and media,Complete submission with approved corporate details,2026-07-28
2,MENA Fintech Association,Industry directory,High for regional RegTech,https://mena-fintech.org/directory/,Appears free,Registered name dates owner email LinkedIn and logo required,https://regrely.com/industries/fintech/,Ready - corporate details required,List under Enterprise Tech Provisioning and RegTech,2026-07-28
3,RegTech Association,Industry association,Very high,https://regtechglobal.org/join,Paid membership,Membership fee and company application,https://regrely.com/,Commercial decision required,Evaluate startup affiliate eligibility and ROI before purchase,2026-07-28
2,Expert Insights DSAR guide,Editorial inclusion,High,https://expertinsights.com/compliance/top-data-subject-access-request-dsar-software,Editorial acceptance,Requires tailored editorial outreach and product review,https://regrely.com/product/dsar/,Pitch ready,Send evidence-led DSAR evaluation pitch,2026-07-28
2,Comparitech GDPR software guide,Editorial inclusion,High,https://www.comparitech.com/data-privacy-management/gdpr-compliance-software/,Editorial acceptance,Requires editor contact and independent evaluation,https://regrely.com/solutions/gdpr-compliance-software-small-business/,Pitch ready,Offer evaluation access and transparent pricing facts,2026-07-28
2,Guideflow DSAR guide,Editorial inclusion,High,https://www.guideflow.com/blog/dsar-software,Editorial acceptance,Requires editorial or partnership contact,https://regrely.com/product/dsar/,Pitch ready,Pitch SMB-focused DSAR workflow differentiator,2026-07-28
2,Guideflow privacy software guide,Editorial inclusion,High,https://www.guideflow.com/blog/data-privacy-management-software,Editorial acceptance,Requires editorial or partnership contact,https://regrely.com/product/,Pitch ready,Pitch unified privacy operations platform for growing teams,2026-07-28
3,Legiscope GDPR software comparison,Editorial inclusion,Medium-high,https://www.legiscope.com/blog/best-gdpr-compliance-software.html,Editorial acceptance,Competitor-owned editorial page may decline,https://regrely.com/solutions/gdpr-compliance-software-small-business/,Pitch ready,Offer factual comparison data without requesting favorable coverage,2026-07-28
3,Strac GDPR software guide,Editorial inclusion,Medium,https://www.strac.io/blog/gdpr-compliance-software,Editorial acceptance,Competitor-owned editorial page may decline,https://regrely.com/product/,Pitch ready,Offer product access and correction-ready fact sheet,2026-07-28
